2023-11-18 13:51:22,504 Namespace(out_dir='out', frequent=10, eval_interval=1, gpu=True, num_workers=0)
2023-11-18 13:51:22,804 => load 200 samples
2023-11-18 13:51:22,805 => load 200 samples
2023-11-18 13:51:23,093 Epoch: [0][0/200]	Time 0.288s (0.288s)	Speed 111.1 samples/s	Data 0.018s (0.018s)	Loss 2.53592 (2.53592)
2023-11-18 13:51:23,166 Epoch: [0][10/200]	Time 0.006s (0.033s)	Speed 5333.9 samples/s	Data 0.003s (0.005s)	Loss 2.05199 (2.26242)
2023-11-18 13:51:23,235 Epoch: [0][20/200]	Time 0.006s (0.020s)	Speed 5334.1 samples/s	Data 0.003s (0.004s)	Loss 1.76857 (2.08508)
2023-11-18 13:51:23,301 Epoch: [0][30/200]	Time 0.006s (0.016s)	Speed 5331.2 samples/s	Data 0.003s (0.004s)	Loss 1.51438 (1.93541)
2023-11-18 13:51:23,373 Epoch: [0][40/200]	Time 0.006s (0.014s)	Speed 5333.5 samples/s	Data 0.003s (0.004s)	Loss 1.28846 (1.80182)
2023-11-18 13:51:23,437 Epoch: [0][50/200]	Time 0.006s (0.012s)	Speed 5333.3 samples/s	Data 0.002s (0.004s)	Loss 1.09529 (1.68066)
2023-11-18 13:51:23,499 Epoch: [0][60/200]	Time 0.006s (0.011s)	Speed 5333.3 samples/s	Data 0.003s (0.003s)	Loss 0.92772 (1.56892)
2023-11-18 13:51:23,562 Epoch: [0][70/200]	Time 0.006s (0.011s)	Speed 5335.2 samples/s	Data 0.003s (0.003s)	Loss 0.77007 (1.46704)
2023-11-18 13:51:23,627 Epoch: [0][80/200]	Time 0.007s (0.010s)	Speed 4571.3 samples/s	Data 0.003s (0.003s)	Loss 0.65983 (1.37368)
2023-11-18 13:51:23,691 Epoch: [0][90/200]	Time 0.006s (0.010s)	Speed 5333.5 samples/s	Data 0.003s (0.003s)	Loss 0.57931 (1.28949)
2023-11-18 13:51:23,754 Epoch: [0][100/200]	Time 0.006s (0.009s)	Speed 5332.0 samples/s	Data 0.003s (0.003s)	Loss 0.48628 (1.21357)
2023-11-18 13:51:23,824 Epoch: [0][110/200]	Time 0.007s (0.009s)	Speed 4571.1 samples/s	Data 0.003s (0.003s)	Loss 0.41621 (1.14496)
2023-11-18 13:51:23,894 Epoch: [0][120/200]	Time 0.007s (0.009s)	Speed 4571.6 samples/s	Data 0.003s (0.003s)	Loss 0.36505 (1.08313)
2023-11-18 13:51:23,964 Epoch: [0][130/200]	Time 0.007s (0.009s)	Speed 4571.9 samples/s	Data 0.003s (0.003s)	Loss 0.34800 (1.02709)
2023-11-18 13:51:24,032 Epoch: [0][140/200]	Time 0.006s (0.009s)	Speed 5333.7 samples/s	Data 0.003s (0.003s)	Loss 0.30868 (0.97720)
2023-11-18 13:51:24,100 Epoch: [0][150/200]	Time 0.007s (0.009s)	Speed 4571.8 samples/s	Data 0.003s (0.003s)	Loss 0.28785 (0.93161)
2023-11-18 13:51:24,170 Epoch: [0][160/200]	Time 0.007s (0.008s)	Speed 4572.1 samples/s	Data 0.003s (0.003s)	Loss 0.27089 (0.89059)
2023-11-18 13:51:24,239 Epoch: [0][170/200]	Time 0.006s (0.008s)	Speed 5332.7 samples/s	Data 0.003s (0.003s)	Loss 0.25858 (0.85336)
2023-11-18 13:51:24,303 Epoch: [0][180/200]	Time 0.006s (0.008s)	Speed 5333.3 samples/s	Data 0.003s (0.003s)	Loss 0.23150 (0.81949)
2023-11-18 13:51:24,368 Epoch: [0][190/200]	Time 0.006s (0.008s)	Speed 5333.3 samples/s	Data 0.003s (0.003s)	Loss 0.20773 (0.78797)
